wins,loss
34,51
16,17
59,63
21,22
8,9
3,7
6,10
10,9
19,20
9,7
6,10
9,13
13,13
51,52
11,16
19,43
3,7
31,31
5,5
8,5
13,18
7,6
16,14
21,13
39,35
11,8
8,9
5,5
26,14
9,7
21,31
6,7
10,6
23,27
13,11
9,3
27,34
16,14
19,24
11,7
51,59
2,13
10,15
6,5
180,181
57,64
5,5
16,27
13,11
11,16
12,10
19,31
26,32
8,7
52,62
4,8
8,6
28,39
7,4
7,6
6,12
13,21
6,8
5,11
13,14
15,18
5,7
16,23
22,27
13,10
54,68
11,7
30,40
22,7
12,9
49,48
9,6
5,12
10,8
16,21
5,9
2,11
12,6
26,24
4,7
17,20
4,6
3,7
17,18
25,21
8,9
5,9
31,28
14,17
7,6
10,12
4,6
45,41
22,42
8,14
16,29
7,6
13,15
6,9
12,11
7,12
28,33
12,9
27,29
97,99
3,13
5,5
15,9
5,7
15,11
8,8
22,17
40,49
11,17
55,60
9,2
19,17
23,18
21,14
42,53
26,25
16,20
17,13
8,6
5,7
6,7
10,10
11,9
4,12
22,24
9,16
15,27
8,28
1,10
7,10
19,7
55,60
9,8
21,33
15,21
21,30
6,4
34,23
6,4
29,28
7,11
5,8
51,58
42,46
8,5
6,8
27,37
33,31
4,10
5,5
7,7
4,6
8,6
26,25
7,3
16,23
7,3
34,53
17,14
20,14
22,37
27,22
9,6
12,17
19,31
10,10
7,3
8,17
19,20
14,7
6,8
9,9
22,33
11,13
8,12
38,42
8,20
9,16
22,36
11,12
9,3
6,6
4,7
11,13
11,8
8,8
42,42
7,12
14,9
31,34
13,17
3,7
47,60
24,23
9,11
85,108
10,3
9,11
5,5
24,28
21,21
58,58
6,8
5,11
15,17
12,13
15,26
32,40
3,8
11,15
9,6
63,65
3,7
5,5
10,4
18,19
5,8
11,22
113,107
8,7
9,14
5,8
6,15
17,10
12,17
34,41
5,7
7,10
36,30
6,12
35,39
23,28
80,102
10,8
6,9
10,8
9,11
63,69
18,25
18,13
11,17
8,8
10,14
13,15
13,15
7,6
29,33
9,11
10,17
4,8
5,8
43,43
5,9
17,12
44,36
24,35
41,26
25,36
6,4
28,15
21,19
2,9
6,7
4,8
11,8
17,24
32,41
6,6
35,41
47,62
11,6
39,40
83,83
14,24
63,61
9,7
10,7
13,7
72,90
8,17
9,17
8,9
15,14
46,63
5,9
8,2
6,5
8,10
10,8
23,34
18,13
6,6
32,45
9,11
19,19
33,33
12,8
7,4
21,14
17,18
4,9
7,8
37,60
9,5
19,17
5,9
19,22
7,11
7,5
3,8
11,5
53,52
45,45
31,30
7,6
6,8
19,21
7,10
19,24
5,5
6,5
19,27
8,7
89,96
38,37
52,65
10,2
68,83
21,16
18,21
18,21
6,14
54,70
12,7
12,21
30,42
4,9
9,5
39,42
9,4
31,44
22,29
9,14
14,19
12,6
11,6
11,15
18,15
13,12
6,6
10,7
9,4
4,8
9,7
10,3
9,15
7,8
2,9
22,20
36,35
18,25
12,24
67,66
7,9
11,14
19,25
14,11
15,12
77,78
7,9
3,12
3,8
54,56
9,4
27,31
6,7
48,65
12,13
4,6
9,8
60,47
5,9
61,62
6,8
114,126
9,7
4,6
16,26
3,7
10,12
4,8
16,18
31,28
12,15
9,7
34,51
16,17
59,63
21,22
8,9
12,19
4,6
18,18
14,16
5,7
16,15
13,11
15,17
6,4
6,12
27,27
23,17
12,27
4,8
23,26
5,7
17,15
9,12
29,45
10,15
8,7
8,15
9,14
5,7
46,54
10,1
14,14
8,4
