wins,loss
33,33
34,33
43,41
17,15
21,16
48,41
13,6
33,38
27,24
52,50
14,14
41,39
36,24
17,20
31,19
32,31
107,95
35,39
26,15
19,12
53,49
28,7
39,36
14,9
33,22
37,18
37,38
38,37
69,51
10,5
77,84
61,49
62,60
60,60
26,28
27,28
28,19
25,22
36,37
11,16
84,77
39,28
48,36
57,39
81,34
23,19
61,32
45,43
57,51
46,36
75,67
20,16
42,36
39,28
93,99
34,31
29,23
43,22
45,39
52,51
17,15
28,24
61,55
26,14
42,35
44,21
35,32
23,18
58,46
79,81
14,14
74,61
51,40
36,33
43,46
53,56
48,37
32,24
51,17
31,26
88,74
22,16
89,83
66,40
28,23
52,58
85,72
90,67
113,105
79,77
68,35
29,24
151,144
47,45
24,26
12,11
35,30
33,13
72,62
32,24
87,46
92,96
67,66
49,39
18,21
80,27
72,46
47,33
19,15
57,43
73,53
82,33
51,37
68,67
67,54
95,40
41,34
35,15
37,18
46,26
52,31
67,57
40,37
17,12
54,59
142,129
39,28
31,16
65,64
15,14
44,38
65,47
39,37
80,53
38,24
110,109
64,56
25,18
22,19
24,17
82,49
10,12
52,38
50,57
43,46
53,47
54,58
22,15
39,35
23,24
73,50
24,18
65,61
66,64
54,45
10,13
77,59
53,45
38,32
70,60
62,55
80,73
33,33
68,67
51,58
29,28
28,14
53,40
47,45
35,28
22,21
26,29
56,50
47,42
46,37
69,67
27,25
48,41
35,21
30,26
37,20
42,32
18,14
52,41
30,27
23,13
33,32
23,14
44,53
36,30
28,24
55,44
29,35
25,19
38,35
45,44
29,19
13,5
71,63
67,58
30,33
28,9
77,69
34,37
68,65
