wins,loss
18,19
114,86
30,23
107,102
51,52
31,16
70,49
28,30
51,48
78,86
10,9
44,25
25,22
64,51
81,70
59,64
113,103
12,7
36,34
46,45
89,78
20,13
59,43
33,44
44,33
70,57
38,30
56,51
11,7
77,52
20,21
188,180
64,57
28,28
17,5
25,28
30,34
107,65
23,24
32,22
65,63
43,50
37,26
78,64
81,78
160,146
51,43
35,36
97,74
45,52
81,75
72,76
19,17
59,48
70,73
71,44
21,12
45,28
31,29
74,39
30,29
33,36
52,26
63,64
97,88
84,78
58,43
16,8
78,39
20,19
132,133
74,76
87,96
13,7
21,23
25,27
129,130
72,78
25,21
20,27
144,129
52,33
102,105
42,48
133,147
48,24
21,15
30,37
82,86
85,100
26,33
147,159
136,124
83,44
56,46
14,14
81,65
26,24
19,25
72,66
48,44
60,43
126,119
32,22
103,59
85,90
50,36
33,24
77,78
45,37
67,53
101,92
38,41
102,104
24,14
80,79
47,19
67,58
11,7
53,55
77,49
56,57
56,55
57,50
86,51
70,70
63,51
56,57
170,185
48,30
80,77
34,36
199,209
211,148
85,52
25,16
104,46
18,15
39,31
66,65
9,10
63,56
134,140
49,31
9,1
35,24
59,59
96,78
20,22
72,61
203,147
37,31
55,35
49,29
80,49
60,39
33,35
62,54
43,21
63,57
70,65
63,58
136,80
63,57
125,127
61,22
59,56
128,114
59,61
22,21
28,29
76,74
30,26
93,89
28,17
110,102
26,31
151,148
30,18
87,92
87,57
115,103
90,76
20,27
48,37
55,50
82,86
42,55
58,58
92,92
51,40
83,65
121,77
36,23
49,40
63,46
50,65
31,32
27,31
131,71
103,101
65,56
110,64
45,48
43,40
