wins,loss
44,49
45,34
7,11
79,69
37,39
76,78
38,55
85,67
83,93
30,15
28,35
92,78
55,41
34,33
80,73
167,187
153,159
84,66
104,59
47,53
57,47
87,91
168,125
172,159
60,61
104,83
130,50
34,31
37,48
200,174
107,93
68,87
50,52
94,92
36,27
49,37
51,39
92,90
105,100
101,92
76,64
106,67
33,30
58,43
121,107
47,59
31,25
51,58
70,46
73,59
41,34
49,34
150,154
101,109
27,21
112,99
137,123
33,33
45,22
98,83
85,83
42,47
48,27
60,30
84,60
65,82
34,27
81,69
85,88
46,36
38,42
34,34
9,1
61,44
99,63
120,122
248,245
80,59
85,81
76,73
24,20
57,36
71,50
66,79
64,58
48,51
45,44
87,75
44,20
54,26
87,94
51,37
123,103
52,51
133,114
83,68
93,85
101,85
61,48
36,32
59,57
52,42
45,37
93,91
104,89
95,69
85,71
124,137
126,142
69,68
70,56
37,28
52,52
128,97
8,2
30,28
162,152
44,39
80,80
101,92
120,127
48,27
62,50
36,26
83,64
97,76
29,15
85,73
79,69
6,6
28,28
140,119
40,29
84,65
57,63
78,70
48,45
8,11
59,56
50,64
49,39
52,36
45,29
45,34
56,57
217,199
58,52
105,81
122,118
21,8
94,90
35,38
44,36
88,87
72,67
28,30
33,35
77,77
26,13
52,58
78,68
36,21
34,24
50,43
117,111
79,82
41,41
43,30
49,40
26,11
93,90
53,25
60,52
38,32
187,166
7,3
104,104
102,74
96,73
43,41
47,42
56,55
76,80
83,67
34,24
75,55
95,86
161,152
34,42
63,59
51,69
65,62
44,56
138,129
42,12
53,45
58,50
17,25
97,91
115,131
58,59
159,136
133,140
50,26
29,15
74,40
35,36
62,47
5,7
56,52
107,72
9,10
120,133
10,6
29,37
51,68
37,28
229,237
58,56
93,89
149,140
134,147
27,10
49,42
74,66
41,36
57,59
28,27
127,133
26,22
98,83
27,13
41,43
57,48
140,106
34,45
28,16
51,50
48,17
88,77
59,55
44,49
45,34
7,11
79,69
37,39
40,24
56,57
81,82
41,33
61,69
42,31
31,26
29,18
88,66
36,37
99,94
123,103
74,74
42,33
71,77
90,68
72,92
46,32
28,19
102,89
34,23
102,104
110,102
60,50
99,88
108,92
53,46
36,21
76,56
46,40
41,22
66,77
53,48
40,22
98,100
102,106
45,36
75,70
90,70
127,112
69,45
44,40
98,90
9,1
49,42
66,69
67,48
14,2
79,82
47,42
79,84
109,98
43,39
41,37
63,67
100,75
41,28
48,36
91,96
79,49
112,98
70,64
14,10
196,180
60,63
102,102
98,112
100,116
79,72
46,34
124,115
30,24
65,51
131,120
71,69
58,42
7,7
37,34
62,43
140,155
48,35
193,127
100,84
26,30
43,42
93,83
105,88
85,75
57,68
73,67
