wins,loss
54,49
35,30
74,82
60,55
54,59
62,68
26,22
91,64
76,54
16,13
71,57
16,20
96,91
64,49
106,93
48,55
43,48
108,107
111,107
61,71
14,9
47,35
54,49
80,74
71,62
56,45
25,18
212,205
69,58
51,80
65,50
107,85
66,66
106,95
134,117
70,52
127,128
48,27
58,56
85,65
26,23
103,90
15,9
146,165
67,78
71,88
50,29
103,109
62,63
106,75
18,19
20,15
121,90
43,26
130,98
49,36
79,70
43,48
21,15
112,92
32,30
156,143
17,5
21,19
44,32
121,141
22,10
26,36
22,13
17,14
54,53
66,46
33,27
17,14
49,30
43,24
70,56
39,39
8,2
103,101
106,90
58,47
32,36
56,44
55,47
7,6
33,28
29,31
100,58
37,34
23,21
102,85
92,80
33,39
26,15
104,128
20,20
35,36
43,49
21,8
49,48
30,15
65,74
22,24
98,97
52,44
132,140
49,39
118,117
47,40
6,8
49,46
21,24
20,8
59,63
49,60
18,13
42,21
21,26
54,29
26,37
30,28
75,62
174,153
72,32
48,39
65,18
87,94
97,88
70,66
102,96
204,163
43,47
18,20
36,47
67,86
129,125
20,10
67,81
126,117
88,78
74,60
78,83
63,55
25,21
85,77
4,14
16,9
16,24
29,26
281,260
126,112
92,74
57,48
100,83
57,66
35,36
6,7
36,11
36,26
66,51
42,43
36,43
68,64
60,47
22,21
76,34
80,61
58,29
27,18
35,33
93,88
62,59
15,5
67,75
138,122
28,27
15,20
325,339
127,127
45,46
94,86
116,113
59,46
20,16
48,53
16,17
24,6
45,7
98,105
14,12
42,52
43,54
79,98
6,13
115,109
114,90
38,27
96,92
96,99
20,21
47,35
14,7
130,107
24,24
89,103
78,65
64,67
41,30
11,17
119,121
21,27
61,59
50,56
40,36
18,19
22,15
98,87
27,19
18,15
126,134
125,103
78,66
55,37
5,5
78,75
203,153
16,16
21,17
9,6
29,31
54,43
106,70
65,49
84,77
48,37
86,63
82,65
77,80
43,39
35,24
61,64
26,36
82,75
45,48
104,106
10,10
116,129
20,14
132,118
35,33
70,21
78,72
68,52
37,27
47,29
104,100
57,47
76,65
159,136
71,59
39,41
37,33
119,80
33,21
40,37
34,26
133,56
54,64
59,74
43,27
26,13
54,49
35,30
74,82
60,55
54,59
39,33
78,75
43,28
45,62
65,72
11,3
69,56
100,106
118,132
53,43
90,76
88,92
133,96
112,104
63,52
51,40
40,42
99,95
129,118
47,29
109,72
37,30
32,32
83,74
70,48
68,74
79,47
35,34
94,87
92,50
49,48
95,99
101,72
80,47
96,88
60,46
24,20
96,59
17,14
28,28
52,56
72,61
26,19
72,64
75,62
43,41
156,135
58,61
43,32
38,23
26,16
118,102
16,13
23,13
21,12
31,21
30,33
66,73
10,13
194,186
55,58
42,27
66,54
17,13
90,86
64,44
14,14
88,68
133,124
37,41
31,22
5,6
136,116
60,69
15,9
20,14
53,55
28,32
69,59
51,28
57,67
47,37
40,36
26,11
36,32
106,97
56,39
56,41
79,88
24,31
122,100
84,58
77,77
126,138
39,51
60,67
66,48
37,27
168,172
21,26
34,28
69,74
123,98
64,59
193,211
60,43
76,60
68,75
90,82
37,23
54,48
27,18
67,64
125,117
20,22
69,59
92,104
62,61
55,56
68,46
16,17
26,17
107,85
28,23
16,8
32,20
83,87
37,32
21,12
53,38
54,61
24,16
24,28
23,31
28,18
59,52
8,8
51,53
20,23
38,15
30,32
100,80
50,54
108,115
85,108
30,5
69,69
102,62
52,35
11,13
23,19
40,44
66,71
118,94
21,24
23,22
127,113
24,11
47,57
100,107
42,50
89,82
25,22
16,13
28,28
69,58
47,39
112,83
28,26
106,86
111,103
24,36
59,61
118,98
70,69
56,55
87,72
85,70
56,45
52,66
19,16
55,63
44,44
58,38
32,26
35,21
40,26
46,51
87,81
135,100
58,17
62,47
19,13
35,14
121,121
41,38
34,37
8,6
23,20
48,41
33,27
17,14
49,30
43,24
70,56
124,140
28,17
44,44
40,23
55,64
40,42
14,17
27,28
43,26
22,17
33,27
42,35
75,85
14,11
12,21
86,90
60,59
43,42
78,71
52,54
107,92
63,40
49,50
26,19
27,18
86,91
47,61
53,49
32,41
70,57
83,99
63,72
73,46
23,37
65,51
38,53
99,102
136,117
153,113
127,94
97,88
35,28
43,65
141,123
73,93
41,52
81,79
29,42
20,12
29,24
51,45
84,88
60,44
99,61
88,77
109,130
50,38
72,52
43,51
31,14
37,25
13,7
52,62
89,75
41,38
38,24
20,14
63,79
47,42
111,78
32,31
32,33
87,60
33,48
26,17
83,86
137,125
13,5
98,75
23,19
98,97
61,48
53,54
69,18
28,32
16,7
102,77
31,35
73,71
65,75
112,95
40,36
42,69
28,19
66,66
51,51
21,6
18,14
57,49
40,47
25,15
110,114
39,36
26,23
86,89
30,17
113,102
17,15
51,27
109,81
65,31
20,18
31,28
60,12
86,92
75,71
19,9
83,69
20,17
89,67
40,32
36,47
10,6
44,39
16,11
55,53
81,75
10,11
56,37
47,36
65,44
37,46
48,55
29,27
41,36
73,64
50,36
19,10
147,91
122,112
84,87
122,100
13,12
48,50
91,79
48,44
22,20
27,35
55,52
72,39
94,82
50,46
44,51
16,16
17,37
73,57
62,66
70,68
49,47
22,21
91,90
17,14
23,25
42,49
43,43
28,21
9,5
26,28
23,5
101,96
22,19
51,38
32,32
28,25
34,20
55,41
35,38
47,73
13,16
20,22
63,62
26,25
44,55
50,42
31,35
117,116
94,81
16,8
40,41
28,25
33,30
27,21
24,22
21,15
23,22
21,25
32,13
22,28
126,89
41,40
39,33
78,75
43,28
45,62
65,72
56,51
109,100
47,55
55,43
29,30
23,28
119,126
21,21
67,64
68,54
73,48
48,55
8,8
101,104
87,79
52,52
22,19
62,52
71,61
18,7
21,16
80,68
73,90
67,70
13,9
39,30
135,131
82,64
58,59
36,20
6,5
36,55
29,22
52,33
49,14
37,37
109,110
34,18
133,122
114,95
29,18
41,20
25,29
70,80
37,29
198,153
87,75
64,67
47,37
57,47
19,19
58,56
129,143
47,47
122,119
21,16
108,98
20,15
82,37
85,77
15,20
47,18
31,17
18,7
93,113
55,28
112,117
77,87
33,32
132,130
63,71
89,91
81,75
147,133
82,92
44,44
49,36
10,7
67,75
90,69
32,23
30,32
71,80
63,52
30,7
26,29
73,63
123,140
97,89
29,24
113,115
70,53
15,11
73,77
110,124
76,67
33,29
53,48
215,191
90,65
25,29
47,28
20,29
64,70
24,17
78,87
85,84
47,44
30,30
42,35
66,55
94,86
234,233
99,103
91,91
45,48
30,34
103,101
55,65
50,33
30,31
4,9
6,14
48,49
5,5
114,136
104,100
14,11
9,10
151,152
53,41
67,48
42,25
31,27
36,32
43,34
55,58
29,46
81,65
23,17
20,12
93,69
101,66
102,90
69,56
26,29
17,6
40,49
101,60
25,9
139,153
93,94
107,120
76,72
23,26
7,3
35,31
48,49
24,15
144,143
57,66
33,26
82,69
40,36
31,29
96,97
30,40
13,9
20,19
57,47
39,35
190,191
76,41
70,34
101,77
69,63
62,46
68,56
126,121
40,59
20,9
27,18
115,116
25,29
32,16
90,93
26,27
71,44
50,70
49,55
37,22
60,43
75,50
188,180
28,41
58,73
71,61
109,84
29,40
124,94
124,140
28,17
44,44
40,23
55,64
90,63
19,14
116,136
18,14
68,67
67,78
28,24
32,20
37,27
22,21
31,19
27,13
22,5
29,28
46,46
41,36
141,106
44,49
46,40
45,21
84,70
64,70
93,81
38,36
130,130
54,54
85,74
48,60
76,80
58,63
44,36
11,1
19,27
70,73
133,119
89,77
22,14
47,46
76,71
38,46
18,24
69,77
43,29
81,28
36,23
96,64
36,27
26,12
127,122
22,15
70,72
122,121
118,133
11,5
36,27
24,23
62,54
22,24
66,51
65,65
113,109
49,48
55,60
28,33
30,14
20,21
27,29
32,22
84,73
21,13
111,106
103,110
31,24
60,60
72,67
51,54
29,18
64,75
32,26
47,27
27,43
89,89
40,47
5,7
39,35
25,17
77,52
44,42
24,28
59,50
26,33
34,42
33,38
41,26
55,49
46,46
27,26
71,58
15,17
54,43
46,57
33,40
33,24
97,83
33,30
46,32
23,22
86,90
45,39
56,51
51,31
45,52
5,5
141,111
190,168
86,100
103,100
52,57
86,92
60,78
17,12
75,70
87,107
160,160
49,57
112,111
86,76
39,32
38,24
60,46
9,1
22,18
13,3
19,16
28,22
27,21
176,167
64,63
20,28
25,16
35,28
33,31
68,55
40,20
17,11
38,43
60,47
75,67
62,68
168,178
80,64
37,26
33,22
66,20
115,82
53,49
43,27
79,64
42,39
83,85
51,57
83,72
66,33
24,23
82,71
21,20
29,23
33,33
39,49
57,58
41,45
86,82
16,15
52,46
90,80
124,95
139,122
71,80
8,3
120,94
17,9
18,17
32,11
74,57
35,27
48,52
57,25
79,53
33,43
128,93
43,30
23,23
100,93
119,113
47,36
63,49
16,10
49,43
63,33
25,10
56,51
109,100
47,55
55,43
29,30
118,99
122,117
25,28
106,91
39,28
31,18
69,54
84,76
51,58
48,43
35,27
29,27
47,52
54,59
20,22
18,12
60,70
23,34
155,166
19,5
26,27
86,80
54,62
36,39
97,55
32,14
8,11
95,71
40,28
8,2
61,67
59,59
166,157
49,60
82,60
58,52
34,26
36,39
27,20
25,10
39,35
61,54
122,112
19,23
27,30
28,52
19,16
120,91
19,13
78,67
50,50
145,124
24,34
105,106
53,45
52,53
67,71
17,9
74,70
70,59
102,83
21,24
14,7
27,26
8,6
51,54
75,61
7,5
22,19
77,84
59,45
