wins,loss
17,41
4,15
3,9
4,13
38,58
15,44
0,11
8,17
28,51
35,57
1,9
13,22
7,22
19,27
5,12
14,30
4,26
5,22
129,161
2,8
14,22
12,13
12,39
18,20
1,19
2,14
16,36
22,21
1,10
11,20
27,34
23,23
13,20
2,12
36,41
3,9
44,45
25,33
4,10
6,22
3,13
1,11
9,26
45,63
7,16
46,55
39,51
2,10
28,56
11,16
19,43
131,189
10,16
7,17
3,11
3,12
6,13
38,46
20,20
18,36
7,10
20,26
2,11
29,47
45,63
59,72
39,58
5,9
7,15
4,12
27,22
25,42
32,28
22,31
9,25
4,7
95,133
13,37
2,9
71,69
20,28
2,8
6,20
33,49
9,19
77,97
5,13
2,8
18,27
51,68
11,16
7,12
35,52
31,54
2,14
6,11
4,9
22,21
24,34
7,14
8,24
95,111
3,11
34,86
19,40
1,11
15,17
42,70
13,18
35,42
6,18
98,104
15,23
21,30
7,9
39,87
2,14
0,10
29,49
88,110
1,12
12,20
1,9
30,45
5,40
24,28
5,24
23,21
9,21
23,43
41,68
9,13
35,41
20,37
14,22
1,11
4,11
43,45
29,33
22,24
11,23
68,87
39,57
13,16
5,10
4,12
81,90
27,31
45,55
4,16
14,35
1,9
31,44
9,18
1,10
3,18
21,38
11,36
10,25
42,44
17,23
2,8
2,8
25,54
17,32
13,18
0,10
15,27
11,23
11,26
2,14
24,21
5,17
2,10
13,18
7,13
14,23
39,54
24,52
8,18
18,24
14,29
4,11
2,8
6,11
2,8
3,9
30,37
6,12
21,28
11,22
13,21
58,73
18,27
5,11
15,22
1,12
15,21
1,10
36,37
33,46
20,25
44,60
8,22
13,20
13,17
7,11
72,81
40,56
12,27
49,55
4,11
56,73
22,60
0,10
4,14
8,12
11,18
49,62
17,36
41,74
17,41
4,15
3,9
4,13
38,58
10,13
41,70
28,55
28,31
35,48
4,12
25,80
3,10
14,34
20,51
8,14
13,33
8,13
38,56
93,135
31,31
15,19
7,25
11,25
0,10
8,13
1,9
12,18
20,31
14,25
6,14
4,10
2,10
12,16
17,22
22,44
22,21
10,19
14,24
42,56
15,38
8,17
37,60
3,15
54,67
5,15
11,14
11,21
2,9
9,21
1,10
12,11
