district,nonlearner,learner
0,0,8.121340012345639e-19
0.03,0,8.486224164794199e-19
0.06,0,8.867282164771391e-19
0.09,0,9.265220931524889e-19
0.12,0,9.680777833096746e-19
0.15,0,1.0114721977945414e-18
0.18,0,1.0567855560488404e-18
0.21,0,1.1041015262779885e-18
0.24,0,1.1535073714625427e-18
0.27,0,1.2050941014531345e-18
0.3,0,1.258956631397628e-18
0.33,0,1.3151939467605392e-18
0.36,0,1.3739092752033685e-18
0.39,0,1.4352102656075287e-18
0.42,0,1.4992091745304006e-18
0.45,0,1.566023060399143e-18
0.48,0,1.6357739857572874e-18
0.51,0,1.708589227892194e-18
0.54,0,1.784601498185912e-18
0.57,0,1.8639491705430592e-18
0.6,0,1.946776519266504e-18
0.63,0,2.033233966763786e-18
0.66,0,2.123478341484423e-18
0.69,0,2.217673146503115e-18
0.72,0,2.3159888391809163e-18
0.75,0,2.418603122353359e-18
0.78,0,2.525701247512666e-18
0.81,0,2.637476330469565e-18
0.84,0,2.754129679999691e-18
0.87,0,2.8758711399993584e-18
0.9,0,3.00291944569666e-18
0.93,0,3.1355025944852425e-18
0.96,0,3.2738582319708047e-18
0.99,0,3.418234053843421e-18
1.02,0,3.5688882242134816e-18
1.05,0,3.7260898110739146e-18
1.08,0,3.890119239577845e-18
1.11,0,4.061268763847646e-18
1.14,0,4.239842958060081e-18
1.17,0,4.426159227581386e-18
1.2,0,4.620548340956399e-18
1.23,0,4.823354983587984e-18
1.26,0,5.0349383339754485e-18
1.29,0,5.255672663415753e-18
1.32,0,5.485947960103927e-18
1.35,0,5.726170578612022e-18
1.38,0,5.976763915755451e-18
1.41,0,6.238169113904351e-18
1.44,0,6.510845792832191e-18
1.47,0,6.795272811239785e-18
1.5,0,7.091949059137824e-18
1.53,0,7.401394282313112e-18
1.56,0,7.72414994016013e-18
1.59,0,8.060780098196963e-18
1.62,0,8.411872356650985e-18
1.65,0,8.778038816537986e-18
1.68,0,9.159917084729648e-18
1.71,0,9.55817131954758e-18
1.74,0,9.97349331849404e-18
1.77,0,1.040660364978462e-17
1.8,0,1.0858252829415259e-17
1.83,0,1.1329222545564287e-17
1.86,0,1.1820326932196087e-17
1.89,0,1.2332413893813464e-17
1.92,0,1.2866366483367983e-17
1.95,0,1.3423104335429997e-17
1.98,0,1.400358515679081e-17
2.01,0,1.4608806276757204e-17
2.04,0,1.5239806259486157e-17
2.07,0,1.589766658079692e-17
2.1,0,1.6583513371992638e-17
2.13,0,1.729851923331951e-17
2.16,0,1.8043905119794878e-17
2.19,0,1.8820942302238728e-17
2.22,0,1.9630954406453612e-17
2.25,0,2.047531953360884e-17
2.28,0,2.1355472465004604e-17
2.31,0,2.2272906954512283e-17
2.34,0,2.322917811211206e-17
2.37,0,2.42259048820827e-17
2.4,0,2.5264772619532158e-17
2.43,0,2.6347535769099267e-17
2.46,0,2.7476020649804092e-17
2.49,0,2.865212835017325e-17
2.52,0,2.9877837737928996e-17
2.55,0,3.1155208588687026e-17
2.58,0,3.248638483828668e-17
2.61,0,3.38735979635424e-17
2.64,0,3.531917049639746e-17
2.67,0,3.6825519676640465e-17
2.7,0,3.839516124855211e-17
2.73,0,4.003071340704086e-17
2.76,0,4.17349008990488e-17
2.79,0,4.3510559286215907e-17
2.82,0,4.5360639375031235e-17
2.85,0,4.728821182092209e-17
2.88,0,4.929647191298105e-17
2.91,0,5.1388744546290446e-17
2.94,0,5.35684893890522e-17
2.97,0,5.583930625201521e-17
